rd,StopNum,Line,open.date
256,80210,red,1993-01-30
257,NA,NA,NA
264,NA,NA,NA
266,80210,red,1993-01-30
267,80210,red,1993-01-30
269,NA,NA,NA
275,NA,NA,NA
276,NA,NA,NA
279,NA,NA,NA
281,NA,NA,NA
282,NA,NA,NA
286,NA,NA,NA
289,NA,NA,NA
291,NA,NA,NA
292,NA,NA,NA
296,NA,NA,NA
299,NA,NA,NA
301,NA,NA,NA
303,NA,NA,NA
305,NA,NA,NA
307,NA,NA,NA
309,NA,NA,NA
311,80131,expo,2012-04-28
312,80130,expo,2012-04-28
313,NA,NA,NA
314,NA,NA,NA
315,NA,NA,NA
316,NA,NA,NA
317,NA,NA,NA
318,NA,NA,NA
319,80123,expo,2012-04-28
321,80130,expo,2012-04-28
326,NA,NA,NA
327,NA,NA,NA
328,80124,expo,2012-04-28
329,80123,expo,2012-04-28
331,80130,expo,2012-04-28
332,80129,expo,2012-06-20
333,80128,expo,2012-04-28
334,80128,expo,2012-04-28
335,NA,NA,NA
336,NA,NA,NA
337,NA,NA,NA
338,NA,NA,NA
341,NA,NA,NA
343,NA,NA,NA
351,80130,expo,2012-04-28
353,80128,expo,2012-04-28
354,NA,NA,NA
355,80127,expo,2012-04-28
356,80127,expo,2012-04-28
357,80126,expo,2012-04-28
358,80124,expo,2012-04-28
359,80124,expo,2012-04-28
361,NA,NA,NA
362,NA,NA,NA
363,NA,NA,NA
373,80128,expo,2012-04-28
374,NA,NA,NA
375,80127,expo,2012-04-28
376,80127,expo,2012-04-28
377,80126,expo,2012-04-28
378,80125,expo,2012-04-28
391,NA,NA,NA
392,NA,NA,NA
393,NA,NA,NA
394,NA,NA,NA
395,NA,NA,NA
397,NA,NA,NA
398,NA,NA,NA
399,NA,NA,NA
401,80412,gold,2003-07-27
402,NA,NA,NA
403,NA,NA,NA
404,NA,NA,NA
405,NA,NA,NA
406,NA,NA,NA
407,NA,NA,NA
408,NA,NA,NA
409,NA,NA,NA
411,80411,gold,2003-07-27
412,80412,gold,2003-07-27
413,80412,gold,2003-07-27
414,NA,NA,NA
415,NA,NA,NA
416,NA,NA,NA
421,NA,NA,NA
422,NA,NA,NA
423,NA,NA,NA
424,NA,NA,NA
427,NA,NA,NA
428,NA,NA,NA
429,NA,NA,NA
437,NA,NA,NA
438,NA,NA,NA
439,NA,NA,NA
441,NA,NA,NA
442,NA,NA,NA
443,NA,NA,NA
445,NA,NA,NA
448,NA,NA,NA
449,NA,NA,NA
451,80407,gold,2009-11-15
452,80406,gold,2009-11-15
453,80406,gold,2009-11-15
455,NA,NA,NA
457,NA,NA,NA
459,NA,NA,NA
462,80406,gold,2009-11-15
463,80405,gold,2009-11-15
466,80405,gold,2009-11-15
467,80405,gold,2009-11-15
468,NA,NA,NA
469,80404,gold,2009-11-15
471,80407,gold,2009-11-15
473,NA,NA,NA
477,NA,NA,NA
478,NA,NA,NA
479,NA,NA,NA
483,NA,NA,NA
487,NA,NA,NA
488,NA,NA,NA
491,NA,NA,NA
497,NA,NA,NA
499,NA,NA,NA
501,NA,NA,NA
502,NA,NA,NA
504,NA,NA,NA
505,NA,NA,NA
506,NA,NA,NA
507,NA,NA,NA
508,NA,NA,NA
509,NA,NA,NA
511,NA,NA,NA
512,NA,NA,NA
513,NA,NA,NA
514,NA,NA,NA
515,NA,NA,NA
516,NA,NA,NA
517,NA,NA,NA
519,NA,NA,NA
521,NA,NA,NA
523,NA,NA,NA
524,NA,NA,NA
525,NA,NA,NA
527,NA,NA,NA
529,NA,NA,NA
541,NA,NA,NA
551,NA,NA,NA
555,NA,NA,NA
557,NA,NA,NA
558,NA,NA,NA
559,NA,NA,NA
561,NA,NA,NA
562,NA,NA,NA
563,NA,NA,NA
565,NA,NA,NA
567,NA,NA,NA
569,NA,NA,NA
581,NA,NA,NA
583,NA,NA,NA
584,NA,NA,NA
585,NA,NA,NA
587,NA,NA,NA
589,NA,NA,NA
599,NA,NA,NA
604,NA,NA,NA
609,NA,NA,NA
615,NA,NA,NA
621,NA,NA,NA
622,NA,NA,NA
625,NA,NA,NA
626,NA,NA,NA
627,NA,NA,NA
628,NA,NA,NA
629,NA,NA,NA
631,NA,NA,NA
632,NA,NA,NA
635,NA,NA,NA
636,80204,red,1999-06-12
637,80204,red,1999-06-12
638,80205,red,1999-06-12
639,80205,red,1999-06-12
642,NA,NA,NA
643,NA,NA,NA
644,NA,NA,NA
645,80203,red,2000-06-24
646,80204,red,1999-06-12
647,80204,red,1999-06-12
649,80205,red,1999-06-12
665,NA,NA,NA
666,NA,NA,NA
667,NA,NA,NA
668,NA,NA,NA
669,NA,NA,NA
671,NA,NA,NA
672,NA,NA,NA
674,NA,NA,NA
676,NA,NA,NA
677,NA,NA,NA
678,NA,NA,NA
679,NA,NA,NA
691,NA,NA,NA
692,NA,NA,NA
693,NA,NA,NA
694,NA,NA,NA
697,NA,NA,NA
699,NA,NA,NA
701,NA,NA,NA
702,NA,NA,NA
703,NA,NA,NA
704,NA,NA,NA
705,NA,NA,NA
706,NA,NA,NA
707,NA,NA,NA
708,NA,NA,NA
709,NA,NA,NA
711,NA,NA,NA
714,NA,NA,NA
715,NA,NA,NA
716,NA,NA,NA
717,NA,NA,NA
718,NA,NA,NA
719,NA,NA,NA
721,NA,NA,NA
722,NA,NA,NA
723,NA,NA,NA
724,NA,NA,NA
725,NA,NA,NA
726,NA,NA,NA
727,NA,NA,NA
728,80216,red,1996-05-22
729,80215,red,1996-05-22
731,NA,NA,NA
732,NA,NA,NA
733,NA,NA,NA
734,NA,NA,NA
735,NA,NA,NA
736,NA,NA,NA
737,80216,red,1996-05-22
738,80216,red,1996-05-22
739,80215,red,1996-05-22
741,NA,NA,NA
742,NA,NA,NA
743,NA,NA,NA
745,NA,NA,NA
746,NA,NA,NA
747,NA,NA,NA
748,NA,NA,NA
749,NA,NA,NA
754,NA,NA,NA
755,NA,NA,NA
756,NA,NA,NA
757,NA,NA,NA
758,NA,NA,NA
759,NA,NA,NA
761,NA,NA,NA
762,NA,NA,NA
763,NA,NA,NA
764,NA,NA,NA
765,NA,NA,NA
766,NA,NA,NA
767,NA,NA,NA
768,NA,NA,NA
769,NA,NA,NA
771,NA,NA,NA
772,NA,NA,NA
773,NA,NA,NA
774,NA,NA,NA
775,NA,NA,NA
776,NA,NA,NA
777,NA,NA,NA
778,NA,NA,NA
779,NA,NA,NA
782,NA,NA,NA
783,NA,NA,NA
784,NA,NA,NA
785,NA,NA,NA
786,NA,NA,NA
787,NA,NA,NA
788,NA,NA,NA
789,NA,NA,NA
801,NA,NA,NA
802,NA,NA,NA
803,NA,NA,NA
804,NA,NA,NA
805,NA,NA,NA
806,NA,NA,NA
807,NA,NA,NA
808,NA,NA,NA
809,NA,NA,NA
811,NA,NA,NA
812,NA,NA,NA
813,NA,NA,NA
814,NA,NA,NA
815,NA,NA,NA
816,NA,NA,NA
817,NA,NA,NA
818,NA,NA,NA
819,NA,NA,NA
821,NA,NA,NA
822,NA,NA,NA
823,NA,NA,NA
824,NA,NA,NA
825,NA,NA,NA
826,NA,NA,NA
827,NA,NA,NA
828,NA,NA,NA
829,NA,NA,NA
831,NA,NA,NA
832,NA,NA,NA
833,NA,NA,NA
834,NA,NA,NA
835,NA,NA,NA
836,NA,NA,NA
839,NA,NA,NA
841,NA,NA,NA
842,NA,NA,NA
847,NA,NA,NA
848,NA,NA,NA
849,NA,NA,NA
851,NA,NA,NA
852,NA,NA,NA
853,NA,NA,NA
854,NA,NA,NA
857,NA,NA,NA
858,NA,NA,NA
859,NA,NA,NA
881,NA,NA,NA
882,NA,NA,NA
883,NA,NA,NA
884,NA,NA,NA
885,NA,NA,NA
886,NA,NA,NA
887,NA,NA,NA
889,NA,NA,NA
891,NA,NA,NA
892,NA,NA,NA
893,NA,NA,NA
895,NA,NA,NA
896,NA,NA,NA
897,NA,NA,NA
898,NA,NA,NA
899,80132,expo,2012-06-20
901,NA,NA,NA
902,NA,NA,NA
911,NA,NA,NA
921,NA,NA,NA
922,NA,NA,NA
923,NA,NA,NA
924,NA,NA,NA
925,NA,NA,NA
926,NA,NA,NA
927,NA,NA,NA
931,NA,NA,NA
932,NA,NA,NA
934,NA,NA,NA
935,NA,NA,NA
936,NA,NA,NA
937,NA,NA,NA
938,NA,NA,NA
941,NA,NA,NA
942,NA,NA,NA
944,NA,NA,NA
945,NA,NA,NA
946,NA,NA,NA
948,NA,NA,NA
951,NA,NA,NA
952,NA,NA,NA
955,NA,NA,NA
956,NA,NA,NA
957,NA,NA,NA
958,NA,NA,NA
961,NA,NA,NA
962,NA,NA,NA
963,NA,NA,NA
964,NA,NA,NA
965,NA,NA,NA
966,NA,NA,NA
968,NA,NA,NA
969,NA,NA,NA
972,NA,NA,NA
973,NA,NA,NA
974,NA,NA,NA
975,NA,NA,NA
976,NA,NA,NA
977,NA,NA,NA
978,NA,NA,NA
979,NA,NA,NA
983,NA,NA,NA
984,NA,NA,NA
986,NA,NA,NA
988,NA,NA,NA
989,NA,NA,NA
995,NA,NA,NA
998,NA,NA,NA
999,NA,NA,NA
1003,NA,NA,NA
1004,NA,NA,NA
1005,NA,NA,NA
1006,NA,NA,NA
1007,NA,NA,NA
1008,NA,NA,NA
1011,NA,NA,NA
1012,NA,NA,NA
1013,NA,NA,NA
1014,NA,NA,NA
1015,NA,NA,NA
1016,NA,NA,NA
1017,NA,NA,NA
1021,NA,NA,NA
1022,NA,NA,NA
1024,NA,NA,NA
1025,NA,NA,NA
1026,NA,NA,NA
1027,NA,NA,NA
1028,NA,NA,NA
1032,NA,NA,NA
1033,NA,NA,NA
1034,NA,NA,NA
1035,NA,NA,NA
1036,NA,NA,NA
1037,NA,NA,NA
1038,NA,NA,NA
1042,NA,NA,NA
1043,NA,NA,NA
1044,NA,NA,NA
1045,NA,NA,NA
1046,NA,NA,NA
1047,NA,NA,NA
1048,NA,NA,NA
1049,NA,NA,NA
1051,NA,NA,NA
1052,NA,NA,NA
1053,NA,NA,NA
1054,NA,NA,NA
1055,NA,NA,NA
1056,NA,NA,NA
1057,NA,NA,NA
1058,NA,NA,NA
1059,NA,NA,NA
1061,NA,NA,NA
1062,NA,NA,NA
1063,NA,NA,NA
1064,NA,NA,NA
1065,NA,NA,NA
1066,NA,NA,NA
1067,NA,NA,NA
1068,NA,NA,NA
1069,NA,NA,NA
1071,NA,NA,NA
1072,NA,NA,NA
1073,NA,NA,NA
1075,NA,NA,NA
1076,NA,NA,NA
1077,NA,NA,NA
1078,NA,NA,NA
1079,NA,NA,NA
1081,NA,NA,NA
1082,NA,NA,NA
1083,NA,NA,NA
1084,NA,NA,NA
1085,NA,NA,NA
1086,NA,NA,NA
1087,NA,NA,NA
1088,NA,NA,NA
1089,NA,NA,NA
1091,NA,NA,NA
1092,NA,NA,NA
1093,NA,NA,NA
1094,NA,NA,NA
1095,NA,NA,NA
1096,NA,NA,NA
1097,NA,NA,NA
1098,NA,NA,NA
1099,NA,NA,NA
1101,NA,NA,NA
1102,NA,NA,NA
1105,NA,NA,NA
1109,NA,NA,NA
1112,NA,NA,NA
1113,NA,NA,NA
1115,NA,NA,NA
1117,NA,NA,NA
1119,NA,NA,NA
1122,NA,NA,NA
1123,NA,NA,NA
1124,NA,NA,NA
1125,NA,NA,NA
1126,NA,NA,NA
1127,NA,NA,NA
1128,NA,NA,NA
1129,NA,NA,NA
1132,NA,NA,NA
1133,NA,NA,NA
1134,NA,NA,NA
1135,NA,NA,NA
1136,NA,NA,NA
1137,NA,NA,NA
1138,80414,gold,2003-07-27
1139,80414,gold,2003-07-27
1141,NA,NA,NA
1142,NA,NA,NA
1143,NA,NA,NA
1144,NA,NA,NA
1145,NA,NA,NA
1146,NA,NA,NA
1147,NA,NA,NA
1148,80413,gold,2003-07-27
1149,80414,gold,2003-07-27
1151,80206,red,1999-06-12
1152,NA,NA,NA
1153,NA,NA,NA
1157,NA,NA,NA
1158,NA,NA,NA
1159,80413,gold,2003-07-27
1161,80207,red,1999-06-12
1162,80207,red,1999-06-12
1171,NA,NA,NA
1172,NA,NA,NA
1173,NA,NA,NA
1174,NA,NA,NA
1175,NA,NA,NA
1176,NA,NA,NA
1177,NA,NA,NA
1179,80412,gold,2003-07-27
1181,NA,NA,NA
1184,NA,NA,NA
1185,NA,NA,NA
1186,NA,NA,NA
1189,80412,gold,2003-07-27
1195,NA,NA,NA
1199,NA,NA,NA
1203,NA,NA,NA
1204,NA,NA,NA
1205,NA,NA,NA
1208,NA,NA,NA
1209,NA,NA,NA
1211,NA,NA,NA
1213,NA,NA,NA
1215,NA,NA,NA
1218,NA,NA,NA
1219,NA,NA,NA
1231,NA,NA,NA
1232,NA,NA,NA
1233,NA,NA,NA
1235,NA,NA,NA
1239,NA,NA,NA
1241,NA,NA,NA
1242,NA,NA,NA
1243,NA,NA,NA
1245,NA,NA,NA
1248,NA,NA,NA
1249,NA,NA,NA
1251,NA,NA,NA
1252,NA,NA,NA
1253,NA,NA,NA
1255,NA,NA,NA
1256,NA,NA,NA
1258,NA,NA,NA
1259,NA,NA,NA
1263,NA,NA,NA
1265,NA,NA,NA
1266,NA,NA,NA
1268,NA,NA,NA
1269,NA,NA,NA
1273,NA,NA,NA
1283,NA,NA,NA
1293,NA,NA,NA
1303,NA,NA,NA
1307,NA,NA,NA
1309,NA,NA,NA
1311,80123,expo,2012-04-28
1313,80119,blue,1990-07-14
1317,80118,blue,1990-07-14
1321,80120,blue,1990-07-14
1323,NA,NA,NA
1325,NA,NA,NA
1327,80118,blue,1990-07-14
1331,80123,expo,2012-04-28
1333,NA,NA,NA
1341,80124,expo,2012-04-28
1342,NA,NA,NA
1343,NA,NA,NA
1345,NA,NA,NA
1347,80117,blue,1990-07-14
1351,NA,NA,NA
1352,NA,NA,NA
1353,NA,NA,NA
1361,NA,NA,NA
1362,NA,NA,NA
1363,NA,NA,NA
1365,NA,NA,NA
1367,80117,blue,1990-07-14
1371,NA,NA,NA
1373,NA,NA,NA
1375,NA,NA,NA
1377,80116,blue,1990-07-14
1381,NA,NA,NA
1383,NA,NA,NA
1385,NA,NA,NA
1391,NA,NA,NA
1393,NA,NA,NA
1395,NA,NA,NA
1401,NA,NA,NA
1402,NA,NA,NA
1403,NA,NA,NA
1405,NA,NA,NA
1406,NA,NA,NA
1407,NA,NA,NA
1408,NA,NA,NA
1409,80132,expo,2012-06-20
1411,NA,NA,NA
1412,NA,NA,NA
1413,NA,NA,NA
1414,NA,NA,NA
1415,NA,NA,NA
1416,NA,NA,NA
1424,NA,NA,NA
1425,NA,NA,NA
1426,NA,NA,NA
1427,NA,NA,NA
1428,NA,NA,NA
1431,NA,NA,NA
1432,NA,NA,NA
1433,NA,NA,NA
1434,NA,NA,NA
1435,NA,NA,NA
1436,NA,NA,NA
1437,NA,NA,NA
1438,NA,NA,NA
1441,NA,NA,NA
1443,NA,NA,NA
1444,NA,NA,NA
1445,NA,NA,NA
1446,NA,NA,NA
1449,NA,NA,NA
1451,NA,NA,NA
1452,NA,NA,NA
1453,NA,NA,NA
1454,NA,NA,NA
1455,NA,NA,NA
1456,NA,NA,NA
1457,NA,NA,NA
1458,NA,NA,NA
1459,NA,NA,NA
1462,NA,NA,NA
1463,NA,NA,NA
1464,NA,NA,NA
1465,NA,NA,NA
1466,NA,NA,NA
1467,NA,NA,NA
1469,NA,NA,NA
1471,NA,NA,NA
1472,NA,NA,NA
1473,NA,NA,NA
1474,NA,NA,NA
1475,NA,NA,NA
1476,NA,NA,NA
1477,NA,NA,NA
1479,NA,NA,NA
1483,NA,NA,NA
1484,NA,NA,NA
1485,NA,NA,NA
1486,NA,NA,NA
1487,NA,NA,NA
1488,NA,NA,NA
1489,NA,NA,NA
1491,NA,NA,NA
1492,NA,NA,NA
1493,NA,NA,NA
1494,NA,NA,NA
1495,NA,NA,NA
1496,NA,NA,NA
1497,NA,NA,NA
1498,NA,NA,NA
1499,80305,green,1995-08-12
1501,NA,NA,NA
1502,NA,NA,NA
1503,NA,NA,NA
1504,NA,NA,NA
1505,NA,NA,NA
1506,NA,NA,NA
1507,NA,NA,NA
1508,NA,NA,NA
1509,NA,NA,NA
1511,NA,NA,NA
1512,NA,NA,NA
1513,NA,NA,NA
1514,NA,NA,NA
1515,NA,NA,NA
1516,NA,NA,NA
1518,NA,NA,NA
1519,NA,NA,NA
1521,NA,NA,NA
1522,NA,NA,NA
1523,NA,NA,NA
1524,NA,NA,NA
1526,NA,NA,NA
1527,NA,NA,NA
1528,NA,NA,NA
1529,NA,NA,NA
1531,NA,NA,NA
1532,NA,NA,NA
1533,NA,NA,NA
1534,NA,NA,NA
1537,NA,NA,NA
1538,NA,NA,NA
1539,NA,NA,NA
1542,NA,NA,NA
1543,NA,NA,NA
1544,NA,NA,NA
1545,NA,NA,NA
1546,NA,NA,NA
1547,80201,red,2000-06-24
1549,80201,red,2000-06-24
1553,NA,NA,NA
1555,NA,NA,NA
1557,NA,NA,NA
1558,NA,NA,NA
1559,NA,NA,NA
1562,NA,NA,NA
1565,NA,NA,NA
1566,NA,NA,NA
1567,NA,NA,NA
1568,NA,NA,NA
1569,NA,NA,NA
1581,NA,NA,NA
1585,NA,NA,NA
1586,80202,red,2000-06-24
1588,80202,red,2000-06-24
1589,80202,red,2000-06-24
1592,NA,NA,NA
1595,NA,NA,NA
1596,NA,NA,NA
1599,NA,NA,NA
1626,NA,NA,NA
1627,NA,NA,NA
1633,NA,NA,NA
1634,NA,NA,NA
1635,NA,NA,NA
1637,NA,NA,NA
1639,NA,NA,NA
1651,NA,NA,NA
1652,NA,NA,NA
1653,NA,NA,NA
1654,NA,NA,NA
1655,NA,NA,NA
1656,NA,NA,NA
1657,NA,NA,NA
1658,NA,NA,NA
1659,NA,NA,NA
1661,NA,NA,NA
1662,NA,NA,NA
1663,NA,NA,NA
1664,NA,NA,NA
1665,NA,NA,NA
1666,NA,NA,NA
1667,NA,NA,NA
1668,NA,NA,NA
1669,NA,NA,NA
1671,NA,NA,NA
1672,NA,NA,NA
1673,NA,NA,NA
1674,NA,NA,NA
1675,NA,NA,NA
1676,NA,NA,NA
1677,NA,NA,NA
1678,NA,NA,NA
1681,NA,NA,NA
1682,NA,NA,NA
1683,NA,NA,NA
1684,NA,NA,NA
1685,NA,NA,NA
1686,NA,NA,NA
1687,NA,NA,NA
1688,NA,NA,NA
1689,NA,NA,NA
1691,NA,NA,NA
1692,NA,NA,NA
1693,NA,NA,NA
1694,NA,NA,NA
1695,NA,NA,NA
1696,NA,NA,NA
1697,NA,NA,NA
1699,NA,NA,NA
1701,NA,NA,NA
1702,NA,NA,NA
1703,NA,NA,NA
1704,NA,NA,NA
1705,NA,NA,NA
1706,NA,NA,NA
1707,NA,NA,NA
1713,NA,NA,NA
1714,NA,NA,NA
1715,NA,NA,NA
1716,NA,NA,NA
1721,NA,NA,NA
1722,NA,NA,NA
1723,NA,NA,NA
1724,NA,NA,NA
1725,NA,NA,NA
1726,NA,NA,NA
1727,NA,NA,NA
1728,NA,NA,NA
1731,NA,NA,NA
1732,NA,NA,NA
1733,NA,NA,NA
1734,NA,NA,NA
1735,NA,NA,NA
1736,NA,NA,NA
1737,NA,NA,NA
1738,NA,NA,NA
1744,NA,NA,NA
1745,NA,NA,NA
1746,NA,NA,NA
1747,NA,NA,NA
1751,NA,NA,NA
1752,NA,NA,NA
1753,NA,NA,NA
1754,NA,NA,NA
1755,NA,NA,NA
1756,NA,NA,NA
1757,NA,NA,NA
1758,NA,NA,NA
1762,NA,NA,NA
1763,NA,NA,NA
1764,NA,NA,NA
1771,NA,NA,NA
1772,NA,NA,NA
1773,NA,NA,NA
1774,NA,NA,NA
1775,NA,NA,NA
1776,NA,NA,NA
1777,NA,NA,NA
1778,NA,NA,NA
1781,NA,NA,NA
1782,NA,NA,NA
1783,NA,NA,NA
1784,NA,NA,NA
1785,NA,NA,NA
1786,NA,NA,NA
1787,NA,NA,NA
1788,NA,NA,NA
1791,NA,NA,NA
1792,NA,NA,NA
1793,NA,NA,NA
1801,NA,NA,NA
1802,NA,NA,NA
1803,NA,NA,NA
1804,NA,NA,NA
1821,NA,NA,NA
1822,NA,NA,NA
1823,NA,NA,NA
1824,NA,NA,NA
1826,80113,blue,1990-07-14
1827,80113,blue,1990-07-14
1829,NA,NA,NA
1834,NA,NA,NA
1835,NA,NA,NA
1836,NA,NA,NA
1837,80113,blue,1990-07-14
1838,NA,NA,NA
1839,NA,NA,NA
1841,NA,NA,NA
1842,NA,NA,NA
1844,NA,NA,NA
1846,NA,NA,NA
1849,80112,blue,1990-07-14
1861,80309,green,1995-08-12
1862,80309,green,1995-08-12
1863,80310,green,1995-08-12
1864,NA,NA,NA
1871,NA,NA,NA
1881,NA,NA,NA
1901,NA,NA,NA
1902,NA,NA,NA
1903,NA,NA,NA
1904,NA,NA,NA
1905,NA,NA,NA
1906,NA,NA,NA
1907,NA,NA,NA
1908,NA,NA,NA
1909,NA,NA,NA
1911,NA,NA,NA
1912,NA,NA,NA
1913,NA,NA,NA
1914,NA,NA,NA
1916,NA,NA,NA
1917,NA,NA,NA
1918,NA,NA,NA
1921,NA,NA,NA
1922,NA,NA,NA
1923,NA,NA,NA
1924,NA,NA,NA
1929,NA,NA,NA
1931,NA,NA,NA
1932,NA,NA,NA
1933,NA,NA,NA
1934,NA,NA,NA
1935,NA,NA,NA
1936,NA,NA,NA
1941,NA,NA,NA
1942,NA,NA,NA
1943,NA,NA,NA
1944,NA,NA,NA
1951,NA,NA,NA
1953,NA,NA,NA
1961,NA,NA,NA
1962,NA,NA,NA
1963,NA,NA,NA
1964,NA,NA,NA
1971,NA,NA,NA
1972,NA,NA,NA
1973,NA,NA,NA
1974,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
