Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1992Q1,0969,9,0,6,7,2,3,1,0,15,14,5,5,1,0,11,6,44,0,120
1992Q1,0971,9,4,13,1,1,2,0,0,3,16,4,6,0,1,3,0,12,0,66
1992Q1,0972,9,1,6,2,3,0,0,1,5,19,3,3,1,0,3,2,27,0,76
1992Q1,0973,9,3,9,0,8,3,0,1,6,25,3,7,0,0,24,1,25,0,115
1992Q1,0974,9,6,7,0,6,6,0,0,5,31,6,3,1,1,9,1,21,0,103
1992Q1,0975,9,1,2,0,2,0,0,0,1,5,1,2,0,0,1,0,11,0,26
1992Q1,0976,9,3,7,6,3,4,0,1,10,28,7,15,2,0,66,4,50,1,207
1992Q1,0979,9,2,10,7,3,5,0,0,7,18,4,6,0,0,8,3,26,0,99
1992Q1,0981,9,13,1,2,0,2,0,0,1,4,0,2,0,0,6,0,0,0,31
1992Q1,0983,9,5,5,2,2,1,0,0,6,18,6,3,0,0,6,3,18,0,75
1992Q1,0984,9,0,3,3,2,1,0,0,2,15,5,3,1,0,11,6,13,0,65
1992Q1,0986,9,8,12,5,8,8,0,0,5,40,6,16,1,2,18,4,58,1,192
1992Q1,0988,9,8,18,5,8,0,0,0,12,28,6,10,1,0,8,1,58,0,163
1992Q1,0989,9,0,2,1,2,1,0,1,4,15,3,0,0,0,1,0,12,1,43
1992Q1,0991,9,0,15,2,0,0,0,0,1,2,1,1,0,0,1,0,2,0,25
1992Q1,0993,9,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,7
1992Q1,0995,9,1,11,2,0,0,0,0,3,10,3,2,0,0,3,1,7,0,43
1992Q1,0999,9,0,7,1,2,3,0,0,1,3,2,2,0,0,2,1,7,0,31
1992Q1,1000,10,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,5
1992Q1,1001,10,1,12,1,1,2,0,0,1,7,2,1,0,0,4,2,7,0,41
1992Q1,1002,10,1,10,3,0,1,0,0,5,3,0,2,1,0,1,4,4,0,35
1992Q1,1003,10,0,8,8,1,4,0,0,4,5,2,2,0,0,5,3,9,0,51
1992Q1,1004,10,7,5,1,6,5,0,0,17,13,6,7,0,1,13,1,26,0,108
1992Q1,1005,10,9,21,6,3,5,0,0,5,10,6,7,0,0,11,7,24,0,114
1992Q1,1006,10,2,20,3,1,3,0,0,3,14,6,6,0,0,8,5,17,1,89
1992Q1,1007,10,0,8,3,0,0,0,0,2,9,4,3,0,1,3,0,10,0,43
1992Q1,1008,10,1,14,2,0,5,0,0,4,3,4,5,0,0,7,5,14,0,64
1992Q1,1011,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
1992Q1,1012,10,0,2,1,0,0,0,0,1,5,1,0,0,0,2,0,2,0,14
1992Q1,1013,10,6,11,5,3,2,0,0,7,11,3,3,2,0,7,5,9,0,74
1992Q1,1014,10,7,13,3,8,2,0,1,5,13,7,5,0,1,7,5,20,0,97
1992Q1,1015,10,17,6,11,3,6,0,1,12,20,11,11,1,1,17,5,27,0,149
1992Q1,1016,10,4,12,4,6,0,0,0,7,27,4,0,0,0,18,4,24,0,110
1992Q1,1017,10,2,10,8,1,2,0,0,2,5,3,3,0,0,5,7,15,0,63
1992Q1,1018,10,2,12,7,2,0,0,0,2,6,1,1,0,0,2,4,17,0,56
1992Q1,1019,10,5,12,7,0,1,0,0,3,3,2,3,0,0,2,3,11,0,52
1992Q1,1021,10,1,1,1,2,0,0,0,1,4,0,0,1,0,1,3,4,0,19
1992Q1,1022,10,4,3,0,2,0,0,0,3,3,0,1,0,0,2,1,2,0,21
1992Q1,1023,10,1,3,1,1,3,0,0,13,6,3,0,0,0,3,0,7,0,41
1992Q1,1024,10,3,4,2,2,7,1,1,13,15,6,1,0,0,5,2,15,0,77
1992Q1,1025,10,8,21,6,4,5,0,2,20,27,1,8,1,1,20,5,34,0,163
1992Q1,1026,10,3,13,6,2,2,0,0,10,12,3,3,0,1,8,3,30,0,96
1992Q1,1027,10,6,12,1,5,1,0,0,11,36,6,8,0,0,13,6,35,0,140
1992Q1,1028,10,9,16,4,8,4,0,0,14,25,6,13,0,0,26,9,26,0,160
1992Q1,1029,10,5,22,1,0,3,0,0,2,7,2,3,0,0,8,4,17,0,74
1992Q1,1031,10,3,2,0,0,0,0,0,5,6,0,1,0,0,8,1,5,1,32
1992Q1,1032,10,2,3,3,3,1,0,1,7,4,2,3,0,0,3,0,7,0,39
1992Q1,1033,10,4,12,2,1,4,0,0,4,3,3,2,0,0,6,0,7,0,48
1992Q1,1034,10,3,3,2,0,3,0,1,0,4,5,1,0,0,27,2,11,0,62
1992Q1,1035,10,3,6,2,1,6,0,0,11,10,5,4,0,0,9,1,12,0,70
1992Q1,1036,10,0,3,3,1,2,0,0,5,9,3,7,0,0,10,6,12,0,61
1992Q1,1037,10,7,5,2,0,0,0,0,7,10,2,3,0,0,4,1,14,0,55
1992Q1,1038,10,16,12,1,7,5,0,0,9,33,7,9,0,0,11,1,32,0,143
1992Q1,1039,10,2,8,3,0,2,0,0,6,15,1,0,1,0,9,3,23,0,73
1992Q1,1041,10,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4
1992Q1,1042,10,13,9,6,2,3,0,0,13,23,3,3,0,0,15,4,14,0,108
