Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0309,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,,
1991Q1,0311,3,3,3,1,0,3,0,0,3,1,3,0,0,0,0,0,4,0,21,,
1991Q1,0312,3,2,0,2,1,0,0,0,1,4,3,0,0,0,0,1,2,0,16,,
1991Q1,0313,3,1,3,0,6,3,0,1,5,0,3,1,0,0,2,0,7,0,32,,
1991Q1,0314,3,0,19,1,10,1,0,1,16,11,6,0,0,0,4,2,32,0,103,,
1991Q1,0315,3,0,10,1,5,3,0,0,12,10,6,0,1,1,7,1,14,0,71,,
1991Q1,0316,3,0,10,0,6,1,0,0,13,5,5,3,2,0,3,1,9,0,58,,
1991Q1,0317,3,2,4,1,5,0,0,0,11,11,3,1,1,0,3,0,18,0,60,,
1991Q1,0318,3,1,5,0,7,1,1,0,8,5,5,3,0,0,2,0,9,0,47,,
1991Q1,0319,3,2,6,2,8,4,0,1,15,27,20,2,0,1,10,1,36,0,135,,
1991Q1,0326,3,4,9,2,9,3,0,0,18,8,8,1,0,0,3,0,15,0,80,,
1991Q1,0327,3,0,19,5,18,2,1,0,8,24,7,4,0,0,4,14,40,0,146,,
1991Q1,0328,3,2,3,8,6,2,0,0,4,38,10,7,0,2,16,12,23,0,133,,
1991Q1,0329,3,0,1,0,3,0,0,0,0,6,0,1,1,0,1,1,2,0,16,,
1991Q1,0331,3,10,3,3,19,6,0,1,9,7,7,3,0,1,1,0,20,0,90,,
1991Q1,0332,3,5,9,2,12,3,0,0,9,2,3,3,0,0,4,0,12,0,64,,
1991Q1,0333,3,9,7,5,21,7,0,2,13,15,9,1,2,2,8,1,14,0,116,,
1991Q1,0334,3,5,8,3,15,9,0,1,15,8,5,5,0,2,12,0,22,1,111,,
1991Q1,0335,3,1,4,2,12,1,0,2,18,2,2,3,0,0,4,1,13,0,65,,
1991Q1,0336,3,4,8,1,6,1,0,0,6,7,1,2,0,1,2,1,21,2,63,,
1991Q1,0337,3,1,9,0,9,5,0,2,23,0,4,2,0,0,3,0,24,0,82,,
1991Q1,0338,3,1,14,0,17,3,0,0,4,17,15,3,0,1,12,13,24,1,125,,
1991Q1,0351,3,1,1,1,7,2,0,1,8,3,1,1,0,0,5,0,6,0,37,,
1991Q1,0353,3,4,4,1,7,2,0,1,3,9,4,0,0,0,6,0,16,0,57,,
1991Q1,0354,3,4,9,1,5,0,0,3,13,5,1,4,0,0,3,0,17,0,65,,
1991Q1,0355,3,1,8,5,14,2,4,1,17,3,5,2,1,0,5,2,17,0,87,,
1991Q1,0356,3,2,5,1,15,5,2,0,14,7,3,3,0,0,16,1,24,0,98,,
1991Q1,0357,3,1,6,4,16,4,0,2,17,14,5,2,1,2,7,3,24,0,108,,
1991Q1,0358,3,10,6,26,6,1,0,0,1,99,46,29,1,0,87,22,16,0,350,,
1991Q1,0359,3,3,3,1,4,1,0,1,3,19,2,3,0,0,1,1,8,0,50,,
1991Q1,0361,3,2,19,0,14,4,3,0,33,15,11,2,2,0,17,0,28,0,150,,
1991Q1,0362,3,8,26,6,15,5,1,0,34,25,8,3,1,0,11,0,34,0,177,,
1991Q1,0363,3,11,13,4,30,6,1,2,28,21,12,17,1,0,55,4,46,0,251,,
1991Q1,0373,3,4,5,5,9,3,0,1,9,12,8,4,0,1,9,2,34,0,106,,
1991Q1,0374,3,1,2,3,4,0,0,0,7,10,5,2,0,0,4,0,9,0,47,,
