QUARTER,REPORTING DISTRICT,DIVISION,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG “FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKETHEFT,AUTO THEFT,BUNCO,TOTAL
2005Q4,343,3,1,3,0,0,1,0,0,0,1,0,1,0,0,6,0,3,0,16
2005Q4,351,3,0,0,5,0,0,0,0,4,1,0,0,2,0,9,0,0,0,21
2005Q4,353,3,1,13,0,0,1,0,0,1,1,0,1,1,0,1,0,5,0,25
2005Q4,354,3,1,5,0,0,1,1,0,4,4,3,2,0,0,3,0,1,0,25
2005Q4,355,3,0,7,3,9,1,3,1,12,1,5,1,0,0,2,0,13,0,58
2005Q4,356,3,0,4,0,8,1,0,0,6,4,2,1,0,0,6,0,10,0,42
2005Q4,357,3,0,4,3,5,0,0,0,12,22,2,1,1,0,5,0,9,0,64
2005Q4,358,3,1,4,8,3,2,0,1,0,11,5,42,2,0,74,6,7,0,166
2005Q4,359,3,0,0,1,0,2,0,0,1,7,2,2,0,0,4,0,4,0,23
2005Q4,361,3,1,2,0,6,4,0,0,12,9,4,0,0,0,8,0,16,0,62
2005Q4,362,3,0,9,3,5,2,1,1,13,9,2,7,1,0,4,0,17,1,75
2005Q4,363,3,4,12,1,9,8,0,1,14,3,9,19,1,1,58,0,20,0,160
2005Q4,373,3,2,5,0,1,1,0,0,6,2,1,3,1,0,3,0,7,0,32
2005Q4,374,3,0,1,0,7,2,0,0,3,2,0,2,0,0,1,0,5,0,23
2005Q4,375,3,0,4,1,7,3,0,1,9,3,3,1,0,1,4,0,6,1,44
2005Q4,376,3,0,8,0,5,1,1,0,10,3,6,3,0,0,3,0,8,0,48
2005Q4,377,3,1,4,0,12,9,0,0,11,20,4,1,0,2,6,0,12,1,83
2005Q4,378,3,0,0,0,6,2,0,0,6,2,1,3,0,0,4,0,11,0,35
2005Q4,391,3,0,4,2,1,1,0,0,7,6,3,0,0,0,2,0,2,0,28
2005Q4,392,3,3,6,4,8,7,0,0,17,3,8,3,1,0,8,0,8,0,76
2005Q4,393,3,2,3,1,8,3,0,0,18,8,1,6,1,0,12,0,9,0,72
2005Q4,394,3,1,2,0,3,1,0,0,1,2,0,2,0,0,2,0,3,0,17
2005Q4,395,3,2,8,0,10,10,0,3,10,4,7,5,1,1,5,0,18,0,84
2005Q4,397,3,0,4,0,19,5,0,0,15,11,4,4,3,1,9,0,23,0,98
2005Q4,398,3,0,15,0,16,1,1,3,10,15,9,2,1,1,5,0,21,0,100
2005Q4,399,3,0,0,0,2,2,0,0,1,2,2,1,0,0,1,0,2,0,13
2005Q4,401,4,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,2,0,9
2005Q4,402,4,0,3,0,0,0,0,0,0,1,5,1,0,0,0,0,4,0,14
2005Q4,403,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2005Q4,404,4,0,0,2,0,2,0,0,3,2,1,0,0,0,6,0,7,0,23
2005Q4,406,4,0,2,0,0,0,0,0,1,5,2,0,1,0,0,0,13,0,24
2005Q4,407,4,0,2,0,1,0,0,0,5,2,5,2,0,0,2,0,12,0,31
2005Q4,408,4,0,1,1,1,2,0,0,0,4,2,0,0,0,0,0,3,0,14
2005Q4,409,4,0,2,3,1,0,0,0,1,1,2,2,0,0,1,0,17,0,30
2005Q4,411,4,0,0,0,2,0,0,0,0,6,1,1,0,0,0,0,8,0,18
2005Q4,412,4,0,1,0,0,5,0,0,5,8,4,0,0,0,3,0,6,0,32
2005Q4,413,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,4
2005Q4,414,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5
2005Q4,415,4,0,2,0,3,3,1,2,14,2,6,0,0,0,2,0,6,1,42
2005Q4,416,4,0,1,1,0,0,0,0,4,5,6,5,0,0,1,0,7,0,30
2005Q4,421,4,0,1,0,2,5,0,0,9,6,4,4,0,0,2,0,10,0,43
2005Q4,422,4,0,5,0,5,3,2,0,2,2,2,2,0,0,3,0,10,0,36
2005Q4,423,4,0,1,0,1,0,0,0,5,5,2,0,0,0,0,0,3,0,17
2005Q4,424,4,0,6,0,1,4,2,1,6,9,5,3,0,0,1,0,13,0,51
2005Q4,427,4,1,2,1,2,2,1,2,2,9,13,1,0,0,3,0,11,0,50
2005Q4,428,4,1,1,0,3,2,1,0,5,7,6,1,0,1,7,0,8,0,43
2005Q4,429,4,0,3,0,4,0,1,0,6,5,6,1,0,0,2,0,13,0,41
2005Q4,437,4,0,3,2,1,0,0,0,3,5,0,3,0,1,3,0,14,0,35
2005Q4,438,4,0,0,0,0,0,1,0,8,4,2,2,0,0,0,0,14,0,31
2005Q4,439,4,1,4,0,1,0,0,0,2,7,3,2,0,0,2,0,26,0,48
2005Q4,441,4,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,7
2005Q4,442,4,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,0,7
2005Q4,443,4,2,0,3,4,1,0,1,7,28,9,12,0,0,20,0,31,0,118
2005Q4,445,4,0,0,0,0,0,0,0,2,1,4,2,0,0,0,0,2,0,11
2005Q4,448,4,0,5,0,0,3,0,1,6,3,4,0,0,0,3,0,9,0,34
2005Q4,449,4,0,0,0,1,1,0,0,1,4,10,0,0,0,2,0,6,0,25
2005Q4,451,4,0,2,1,0,0,0,0,0,2,0,0,0,0,2,0,4,0,11
