QUARTER,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE THEFT,AUTO  THEFT,BUNCO,TOTAL
1997Q1,1087,10,2,1,0,0,3,0,0,2,8,1,1,0,0,4,0,2,0,24
1997Q1,1088,10,3,0,0,1,3,0,0,1,4,1,4,0,0,3,0,3,0,23
1997Q1,1089,10,7,1,2,0,0,0,0,0,3,3,0,2,0,7,0,2,0,27
1997Q1,1091,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1997Q1,1092,10,0,1,1,0,0,0,0,2,3,2,0,0,0,1,0,1,0,11
1997Q1,1094,10,0,3,0,1,0,0,0,1,3,2,3,0,0,3,0,3,0,19
1997Q1,1095,10,0,4,1,0,1,0,0,2,4,3,3,0,0,6,0,3,0,27
1997Q1,1096,10,0,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,0,8
1997Q1,1097,10,0,3,2,0,0,0,0,1,5,3,1,0,0,2,0,6,0,23
1997Q1,1099,10,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,7,0,13
1997Q1,1100,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1997Q1,1101,11,1,0,5,3,0,0,0,4,22,1,2,0,0,8,0,7,0,53
1997Q1,1102,11,2,6,0,2,0,0,0,9,2,2,2,0,0,16,0,17,0,58
1997Q1,1105,11,3,1,0,0,3,0,0,1,1,0,1,0,0,0,0,6,0,16
1997Q1,1109,11,0,4,2,0,1,0,0,3,7,2,3,0,0,6,0,11,0,39
1997Q1,1112,11,0,3,2,0,2,0,0,4,2,4,1,0,0,2,0,11,0,31
1997Q1,1113,11,7,9,1,1,2,0,0,2,11,3,1,0,0,35,0,13,0,85
1997Q1,1115,11,6,5,1,5,5,2,0,5,4,2,2,0,2,11,0,13,1,64
1997Q1,1117,11,1,5,3,1,0,0,0,7,7,6,3,0,0,7,0,11,0,51
1997Q1,1119,11,1,2,1,3,1,0,0,6,2,0,1,0,0,2,0,7,0,26
1997Q1,1122,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4
1997Q1,1123,11,3,6,4,3,1,0,0,17,4,3,1,0,0,1,0,8,0,51
1997Q1,1124,11,6,1,1,3,1,0,0,14,6,8,5,0,0,30,0,18,0,93
1997Q1,1125,11,3,0,0,3,1,0,1,4,1,0,0,0,0,5,0,7,0,25
1997Q1,1126,11,1,7,1,2,2,0,0,12,2,2,2,0,0,7,0,6,0,44
1997Q1,1127,11,0,14,4,4,6,0,0,22,8,4,1,0,0,8,1,14,0,86
1997Q1,1128,11,1,9,4,2,6,0,0,11,6,1,1,0,0,8,0,3,0,52
1997Q1,1129,11,0,7,0,5,0,3,0,3,14,5,3,0,0,2,0,5,0,47
1997Q1,1132,11,1,12,6,7,2,0,0,3,13,5,4,0,1,7,0,35,0,96
1997Q1,1133,11,1,7,3,3,4,1,0,11,17,8,5,0,0,3,0,15,1,79
1997Q1,1134,11,4,1,1,5,1,0,0,10,7,3,2,1,0,6,0,16,1,58
1997Q1,1135,11,2,9,1,3,0,0,0,9,5,4,1,0,1,1,0,17,0,53
1997Q1,1136,11,2,5,2,10,1,0,1,5,9,2,3,0,0,3,1,14,0,58
1997Q1,1137,11,0,3,3,6,0,0,0,14,6,3,0,0,0,3,0,9,0,47
1997Q1,1138,11,1,12,1,6,1,1,0,14,11,9,1,1,0,8,0,12,0,78
1997Q1,1139,11,1,2,0,1,1,0,0,7,6,0,0,0,0,1,0,11,0,30
1997Q1,1141,11,0,9,1,3,4,0,0,6,30,6,4,0,0,7,0,25,0,95
1997Q1,1142,11,4,16,0,5,6,0,1,14,23,4,6,1,2,17,0,28,0,127
1997Q1,1143,11,1,21,3,6,1,0,1,7,12,6,5,0,0,9,0,30,0,102
1997Q1,1144,11,0,4,1,6,0,0,0,4,9,6,3,0,1,4,0,13,0,51
1997Q1,1145,11,4,7,2,2,4,0,0,6,11,5,5,0,0,3,0,11,0,60
1997Q1,1146,11,0,1,1,2,0,0,0,1,2,0,1,0,0,1,0,2,0,11
1997Q1,1147,11,0,5,1,1,1,0,0,5,9,4,2,0,0,6,0,6,0,40
1997Q1,1148,11,0,10,1,2,0,0,0,9,7,6,2,0,0,5,0,8,1,51
1997Q1,1149,11,1,15,3,10,5,1,3,15,11,9,1,2,0,4,0,13,0,93
1997Q1,1151,11,2,4,4,9,3,0,1,13,10,8,1,0,0,32,0,10,0,97
1997Q1,1152,11,0,6,2,6,1,0,0,8,11,6,1,0,0,2,0,11,0,54
1997Q1,1153,11,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,7
1997Q1,1157,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997Q1,1158,11,0,2,2,0,0,0,0,12,1,3,0,0,0,2,0,4,0,26
1997Q1,1159,11,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,5
1997Q1,1161,11,3,2,0,0,1,0,0,9,5,1,3,0,1,1,0,4,0,30
1997Q1,1162,11,1,3,1,5,4,0,0,15,21,4,6,0,0,16,0,23,0,99
1997Q1,1171,11,2,10,2,2,1,0,0,6,7,3,4,0,0,5,0,12,1,55
1997Q1,1172,11,1,6,4,1,2,0,1,4,11,5,7,0,0,7,0,15,0,64
1997Q1,1173,11,1,9,8,3,1,0,0,18,8,6,3,0,0,10,0,21,0,88
1997Q1,1174,11,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,7
1997Q1,1175,11,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5
1997Q1,1176,11,1,2,2,2,0,0,0,4,3,0,0,0,0,5,0,6,1,26
1997Q1,1177,11,0,1,1,2,4,1,0,11,3,4,4,0,0,3,0,10,0,44
1997Q1,1179,11,1,1,1,3,0,0,0,8,0,3,0,0,0,1,0,6,0,24
1997Q1,1181,11,2,2,2,2,4,0,1,10,12,2,0,0,0,8,1,9,0,55
1997Q1,1184,11,3,4,4,1,0,0,1,10,4,0,0,0,0,3,0,8,0,38
1997Q1,1185,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1997Q1,1186,11,0,0,1,0,2,0,1,0,3,2,0,0,0,1,0,1,0,11
1997Q1,1189,11,0,2,2,0,1,2,0,2,1,1,0,0,0,1,0,0,0,12
1997Q1,1195,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1997Q1,1199,11,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4
1997Q1,1203,12,2,21,3,7,1,1,2,22,4,11,1,0,0,5,0,17,0,97
1997Q1,1204,12,0,11,4,5,4,1,0,25,3,4,0,1,0,2,0,5,0,65
1997Q1,1205,12,0,16,1,4,1,0,2,11,1,2,0,0,0,2,0,5,0,45
1997Q1,1208,12,0,6,0,8,3,0,1,28,2,12,2,0,0,3,0,14,0,79
1997Q1,1209,12,0,0,0,5,2,1,0,7,1,2,0,0,0,0,0,2,0,20
1997Q1,1211,12,1,6,0,7,10,1,0,28,9,12,3,0,0,4,0,19,0,100
1997Q1,1213,12,1,10,1,9,3,1,3,24,9,6,1,0,0,6,0,8,0,82
1997Q1,1215,12,2,19,0,5,3,0,1,29,3,7,0,0,0,4,0,21,0,94
1997Q1,1218,12,0,4,1,6,3,1,1,12,2,14,3,0,1,7,0,16,0,71
1997Q1,1219,12,0,0,0,0,0,0,0,5,1,0,1,0,0,3,0,2,0,12
1997Q1,1231,12,0,16,0,1,1,0,0,9,6,2,2,0,0,6,0,15,0,58
1997Q1,1232,12,1,9,4,3,6,0,1,16,5,6,1,0,0,5,0,16,0,73
1997Q1,1233,12,0,2,1,4,1,0,0,7,1,11,3,0,1,9,0,4,0,44
1997Q1,1235,12,0,7,0,3,1,0,2,10,5,5,1,1,0,2,0,8,0,45
1997Q1,1239,12,8,6,13,8,9,1,1,32,7,7,1,0,1,51,0,25,0,170
1997Q1,1241,12,1,16,11,14,5,1,2,31,11,7,3,0,0,7,0,16,0,125
1997Q1,1242,12,0,4,0,7,0,0,1,3,3,2,1,0,0,0,0,7,0,28
