Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1993Q1,1313,13,28,3,5,17,8,0,0,7,40,10,9,0,0,8,0,36,0,171
1993Q1,1317,13,18,1,4,11,5,0,0,5,22,9,4,0,1,13,0,29,0,122
1993Q1,1321,13,6,2,2,12,1,0,1,10,32,7,9,1,0,7,1,95,0,186
1993Q1,1323,13,2,10,2,23,9,1,0,27,9,7,1,1,0,9,4,29,0,134
1993Q1,1325,13,5,4,0,10,3,1,1,20,9,3,3,0,0,4,1,17,1,82
1993Q1,1327,13,4,1,2,3,2,1,1,3,5,5,1,2,0,1,0,5,0,36
1993Q1,1331,13,12,5,2,12,2,0,0,11,20,5,10,0,1,2,1,49,0,132
1993Q1,1333,13,10,13,4,14,4,1,0,24,19,4,1,2,0,5,0,27,0,128
1993Q1,1341,13,8,2,5,10,2,0,1,6,11,9,1,0,0,3,0,42,0,100
1993Q1,1342,13,4,15,11,28,5,2,1,19,15,10,2,1,0,2,2,37,0,154
1993Q1,1343,13,4,16,8,18,5,0,2,29,15,9,2,1,1,5,1,32,0,148
1993Q1,1345,13,3,12,6,24,6,3,1,50,19,9,5,1,0,10,2,22,0,173
1993Q1,1347,13,2,16,0,5,4,0,0,19,12,6,4,0,0,4,0,19,0,91
1993Q1,1351,13,1,6,1,23,8,1,0,19,9,2,2,1,0,3,0,24,0,100
1993Q1,1352,13,4,13,5,10,5,0,2,13,15,8,2,1,2,1,2,21,0,104
1993Q1,1353,13,3,14,8,18,3,1,2,23,14,7,5,0,3,6,2,19,0,128
1993Q1,1361,13,6,7,2,23,6,0,2,24,9,6,2,2,1,3,1,22,0,116
1993Q1,1362,13,1,7,3,15,1,0,1,31,8,4,1,0,0,3,2,30,0,107
1993Q1,1363,13,0,4,3,15,3,2,0,23,7,7,1,0,1,4,1,19,0,90
1993Q1,1365,13,2,13,2,16,6,1,1,29,17,15,6,2,1,4,0,28,0,143
1993Q1,1367,13,2,7,1,7,3,0,0,24,13,5,2,0,0,2,0,63,0,129
1993Q1,1371,13,2,4,1,6,2,1,0,20,9,5,1,0,0,1,0,12,0,64
1993Q1,1373,13,5,13,2,19,4,0,1,27,20,4,6,1,0,1,0,45,0,148
1993Q1,1375,13,2,7,0,7,3,0,1,28,6,3,2,0,0,4,0,11,0,74
1993Q1,1377,13,2,5,5,4,0,0,0,18,7,5,1,0,1,2,1,8,0,59
1993Q1,1381,13,1,8,1,1,1,0,0,3,3,1,0,0,0,2,0,5,0,26
1993Q1,1383,13,5,62,7,6,12,0,0,25,20,13,6,2,0,2,2,24,0,186
1993Q1,1385,13,23,0,3,4,1,2,1,7,3,5,4,3,1,4,0,28,0,89
1993Q1,1391,13,0,9,1,1,3,1,0,4,0,1,1,0,0,0,0,4,0,25
1993Q1,1393,13,4,17,6,7,5,4,0,41,10,6,2,0,0,5,0,21,0,128
1993Q1,1395,13,5,0,1,10,5,0,0,8,3,3,1,1,0,2,2,20,0,61
1993Q1,1400,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
1993Q1,1401,14,0,1,1,0,0,0,0,4,5,1,4,0,0,0,1,3,0,20
1993Q1,1402,14,1,2,2,9,3,0,1,3,3,1,1,0,0,11,0,12,0,49
1993Q1,1403,14,0,6,0,0,1,0,0,3,10,1,3,0,0,3,0,15,0,42
1993Q1,1405,14,0,0,0,2,1,0,0,1,2,0,2,0,0,0,0,5,0,13
1993Q1,1406,14,7,24,1,6,8,0,2,11,34,5,2,0,0,11,1,55,0,167
1993Q1,1407,14,3,23,0,10,4,0,0,12,34,10,12,1,0,11,2,53,0,175
